timestamp,open,high,low,close,volume
1771675200000,9.268,9.447,9.248,9.275,180985.7
1771689600000,9.275,9.303,9.191,9.26,77973.6
1771704000000,9.26,9.268,9.098,9.11,159604.5
1771718400000,9.11,9.11,9.0,9.04,107042.0
1771732800000,9.04,9.057,8.953,9.005,94557.8
1771747200000,9.005,9.054,8.965,9.001,57644.8
1771761600000,9.001,9.002,8.808,8.879,133135.1
1771776000000,8.879,8.879,8.786,8.812,95762.4
1771790400000,8.812,8.882,8.777,8.871,74643.9
1771804800000,8.871,8.885,8.324,8.413,469504.9
1771819200000,8.413,8.604,8.328,8.554,132901.0
1771833600000,8.554,8.725,8.498,8.647,108128.2
1771848000000,8.647,8.773,8.543,8.561,138259.3
1771862400000,8.561,8.612,8.327,8.362,198521.9
1771876800000,8.362,8.44,8.262,8.359,113740.0
1771891200000,8.359,8.436,8.208,8.297,235565.4
1771905600000,8.297,8.313,8.202,8.245,110408.1
1771920000000,8.245,8.321,8.22,8.307,123822.6
1771934400000,8.307,8.372,8.169,8.328,254235.5
1771948800000,8.328,8.431,8.316,8.345,166166.5
1771963200000,8.345,8.37,8.246,8.277,70846.9
1771977600000,8.277,8.701,8.257,8.506,358640.9
1771992000000,8.506,8.575,8.408,8.569,164644.9
1772006400000,8.569,8.981,8.537,8.968,248457.0
1772020800000,8.968,9.594,8.953,9.525,665226.6
1772035200000,9.525,9.814,9.525,9.743,386878.6
1772049600000,9.743,9.842,9.411,9.511,511434.6
1772064000000,9.511,9.625,9.42,9.449,242160.1
1772078400000,9.449,9.557,9.317,9.32,270434.1
1772092800000,9.32,9.403,9.231,9.237,335115.5
1772107200000,9.237,9.387,9.205,9.298,249408.4
1772121600000,9.298,9.337,9.085,9.299,482044.4
1772136000000,9.299,9.331,9.228,9.298,109449.1
1772150400000,9.298,9.431,9.241,9.409,120043.4
1772164800000,9.409,9.483,9.329,9.381,235176.6
1772179200000,9.381,9.424,8.984,9.029,234073.0
1772193600000,9.029,9.054,8.906,9.009,321613.9
1772208000000,9.009,9.012,8.846,8.891,176839.7
1772222400000,8.891,8.962,8.776,8.947,150160.1
1772236800000,8.947,8.97,8.87,8.883,48352.4
1772251200000,8.883,8.9,8.481,8.615,485654.6
1772265600000,8.615,8.623,8.423,8.463,231002.6
1772280000000,8.463,8.738,8.455,8.627,377596.1
1772294400000,8.627,8.989,8.603,8.926,252854.1
1772308800000,8.926,9.267,8.911,9.158,436902.7
1772323200000,9.158,9.423,9.054,9.258,306436.5
1772337600000,9.258,9.299,9.155,9.212,132482.8
1772352000000,9.212,9.251,9.093,9.119,131379.8
1772366400000,9.119,9.228,9.026,9.129,247326.9
1772380800000,9.129,9.162,8.937,8.946,223781.6
1772395200000,8.946,9.072,8.836,9.025,342570.3
1772409600000,9.025,9.196,9.001,9.118,131827.8
1772424000000,9.118,9.134,8.871,8.927,134586.4
1772438400000,8.927,9.028,8.857,8.967,197570.0
1772452800000,8.967,9.4,8.894,9.309,302218.7
1772467200000,9.309,9.477,9.181,9.234,356574.6
1772481600000,9.234,9.28,9.142,9.166,125605.5
1772496000000,9.166,9.252,9.071,9.146,115295.6
1772510400000,9.146,9.187,9.059,9.107,100085.5
1772524800000,9.107,9.124,8.937,9.011,213033.9
1772539200000,9.011,9.175,8.89,9.158,208185.6
1772553600000,9.158,9.329,9.088,9.171,231349.8
1772568000000,9.171,9.242,9.068,9.173,89585.2
1772582400000,9.173,9.241,9.098,9.169,90241.0
1772596800000,9.169,9.193,9.004,9.181,162085.7
1772611200000,9.181,9.488,9.159,9.298,370895.2
1772625600000,9.298,9.718,9.236,9.709,287917.5
1772640000000,9.709,9.778,9.501,9.664,255108.4
1772654400000,9.664,9.672,9.417,9.497,175527.3
1772668800000,9.497,9.532,9.404,9.449,126294.4
1772683200000,9.449,9.497,9.336,9.372,114127.4
1772697600000,9.372,9.574,9.356,9.443,192449.8
1772712000000,9.443,9.528,9.334,9.396,198286.8
1772726400000,9.396,9.453,9.249,9.378,201550.1
1772740800000,9.378,9.504,9.365,9.373,144582.2
1772755200000,9.373,9.445,9.319,9.411,112681.1
1772769600000,9.411,9.463,9.307,9.448,121717.8
1772784000000,9.448,9.449,9.235,9.247,87059.5
1772798400000,9.247,9.25,8.918,8.969,522630.3
1772812800000,8.969,8.998,8.872,8.962,124281.7
1772827200000,8.962,9.061,8.919,9.01,91350.4
1772841600000,9.01,9.072,9.002,9.014,48492.5
1772856000000,9.014,9.02,8.956,9.009,55245.3
1772870400000,9.009,9.048,8.97,9.009,50388.3
1772884800000,9.009,9.018,8.932,8.957,69560.4
1772899200000,8.957,9.006,8.86,8.876,138137.6
1772913600000,8.876,8.932,8.863,8.901,73919.0
1772928000000,8.901,8.916,8.805,8.841,78620.0
1772942400000,8.841,8.9,8.786,8.873,53523.5
1772956800000,8.873,9.016,8.835,8.912,84974.7
1772971200000,8.912,9.016,8.838,8.863,130231.2
1772985600000,8.863,8.976,8.807,8.951,82252.0
1773000000000,8.951,8.988,8.676,8.807,238522.0
1773014400000,8.807,9.089,8.805,8.968,145192.2
1773028800000,8.968,9.284,8.968,9.079,234722.5
1773043200000,9.079,9.168,9.007,9.079,92792.1
1773057600000,9.079,9.325,9.075,9.271,172810.2
1773072000000,9.271,9.524,9.202,9.379,209104.5
1773086400000,9.379,9.422,9.222,9.263,91115.3
1773100800000,9.263,9.498,9.246,9.325,107317.7
1773115200000,9.325,9.476,9.325,9.396,78403.7
1773129600000,9.396,9.595,9.394,9.489,137366.0
1773144000000,9.489,9.804,9.306,9.757,391443.0
1773158400000,9.757,9.958,9.544,9.597,391972.3
1773172800000,9.597,9.658,9.488,9.528,106756.0
1773187200000,9.528,9.594,9.464,9.54,104750.6
1773201600000,9.54,9.735,9.48,9.511,134330.9
1773216000000,9.511,9.619,9.491,9.549,87204.0
1773230400000,9.549,9.855,9.496,9.591,312134.5
1773244800000,9.591,9.749,9.565,9.697,139212.3
1773259200000,9.697,9.697,9.524,9.545,148957.2
1773273600000,9.545,9.555,9.426,9.483,124925.8
1773288000000,9.483,9.58,9.446,9.58,91442.4
1773302400000,9.58,9.647,9.496,9.567,180696.2
1773316800000,9.567,9.636,9.434,9.58,258472.8
1773331200000,9.58,9.618,9.519,9.6,139957.8
1773345600000,9.6,9.734,9.582,9.671,154605.6
1773360000000,9.671,10.004,9.648,9.95,433333.7
1773374400000,9.95,9.996,9.804,9.846,174411.3
1773388800000,9.846,10.037,9.796,10.001,182130.9
1773403200000,10.001,10.279,9.861,9.892,618343.3
1773417600000,9.892,9.925,9.715,9.766,243559.7
1773432000000,9.766,9.819,9.662,9.714,135384.1
1773446400000,9.714,9.749,9.625,9.736,95094.5
1773460800000,9.736,9.772,9.566,9.582,166521.7
1773475200000,9.582,9.604,9.513,9.565,143312.4
1773489600000,9.565,9.583,9.536,9.557,113313.8
1773504000000,9.557,9.602,9.544,9.567,36122.3
1773518400000,9.567,9.724,9.558,9.724,68328.3
1773532800000,9.724,9.797,9.649,9.712,106458.6
1773547200000,9.712,9.751,9.659,9.705,79493.1
1773561600000,9.705,9.863,9.705,9.793,112554.0
1773576000000,9.793,9.875,9.695,9.706,160286.5
1773590400000,9.706,9.79,9.661,9.757,134038.5
1773604800000,9.757,10.039,9.728,9.946,324156.9
1773619200000,9.946,10.407,9.876,10.26,320862.8
1773633600000,10.26,10.517,10.26,10.358,247121.9
1773648000000,10.358,10.44,10.176,10.201,239702.3
1773662400000,10.201,10.27,10.004,10.074,427196.2
1773676800000,10.074,10.335,10.063,10.27,228736.7
1773691200000,10.27,10.511,10.256,10.481,270295.7
1773705600000,10.481,10.541,10.271,10.345,181913.8
1773720000000,10.345,10.395,10.234,10.305,111998.7
1773734400000,10.305,10.347,10.22,10.258,218565.0
1773748800000,10.258,10.33,10.196,10.254,162771.4
1773763200000,10.254,10.322,10.239,10.244,61234.7
1773777600000,10.244,10.335,10.17,10.191,71865.5
1773792000000,10.191,10.357,10.147,10.307,88664.8
1773806400000,10.307,10.329,10.217,10.24,59619.2
1773820800000,10.24,10.284,9.923,9.976,201609.8
1773835200000,9.976,9.976,9.477,9.558,349712.5
1773849600000,9.558,9.712,9.484,9.611,251007.1
1773864000000,9.611,9.734,9.529,9.679,107393.0
1773878400000,9.679,9.741,9.607,9.659,74664.6
1773892800000,9.659,9.662,9.431,9.51,125854.3
1773907200000,9.51,9.605,9.479,9.544,131507.7
1773921600000,9.544,9.544,9.329,9.403,346337.4
1773936000000,9.403,9.57,9.332,9.501,131529.3
1773950400000,9.501,9.54,9.413,9.465,65882.1
1773964800000,9.465,9.589,9.454,9.555,110563.0
1773979200000,9.555,9.595,9.444,9.526,119914.7
1773993600000,9.526,9.607,9.477,9.509,125945.1
1774008000000,9.509,9.538,9.412,9.474,151048.5
1774022400000,9.474,9.531,9.406,9.518,110921.1
1774036800000,9.518,9.641,9.444,9.567,142740.4
1774051200000,9.567,9.606,9.531,9.582,66446.4
1774065600000,9.582,9.628,9.552,9.577,55340.8
1774080000000,9.577,9.588,9.486,9.501,72731.3
1774094400000,9.501,9.543,9.451,9.534,60463.0
1774108800000,9.534,9.561,9.47,9.488,45252.9
1774123200000,9.488,9.526,9.147,9.206,228332.7
1774137600000,9.206,9.349,9.042,9.274,233294.4
1774152000000,9.274,9.311,9.185,9.186,84831.8
1774166400000,9.186,9.187,9.051,9.055,117335.2
1774180800000,9.055,9.139,9.054,9.092,68094.4
1774195200000,9.092,9.103,8.943,8.969,117171.7
1774209600000,8.969,9.087,8.87,9.017,197350.7
1774224000000,9.017,9.182,8.979,9.096,72513.4
1774238400000,9.096,9.173,8.95,9.016,101319.0
1774252800000,9.016,9.578,8.911,9.375,790080.0
1774267200000,9.375,9.749,9.332,9.417,376937.6
1774281600000,9.417,9.568,9.358,9.455,205174.7
1774296000000,9.455,9.58,9.443,9.561,113803.9
1774310400000,9.561,9.592,9.45,9.568,103895.3
1774324800000,9.568,9.614,9.47,9.598,110996.0
1774339200000,9.598,9.627,9.507,9.545,93838.7
1774353600000,9.545,9.557,9.382,9.436,176935.3
1774368000000,9.436,9.465,9.348,9.386,113149.8
1774382400000,9.386,9.642,9.38,9.62,201949.2
1774396800000,9.62,9.656,9.552,9.61,105834.5
1774411200000,9.61,9.711,9.601,9.645,89961.0
1774425600000,9.645,9.775,9.62,9.737,134624.5
1774440000000,9.737,9.788,9.585,9.659,155031.8
1774454400000,9.659,9.755,9.631,9.676,128655.5
1774468800000,9.676,9.727,9.608,9.675,78755.9
1774483200000,9.675,9.689,9.535,9.566,94799.8
1774497600000,9.566,9.566,9.399,9.432,155114.0
1774512000000,9.432,9.438,9.227,9.231,179324.8
1774526400000,9.231,9.332,9.122,9.176,187891.3
1774540800000,9.176,9.2,8.981,9.009,159943.3
1774555200000,9.009,9.138,8.989,9.097,169179.2
1774569600000,9.097,9.138,9.061,9.072,96629.5
1774584000000,9.072,9.09,8.991,9.061,101788.1
1774598400000,9.061,9.075,8.658,8.75,355946.8
1774612800000,8.75,8.878,8.722,8.802,206443.3
1774627200000,8.802,8.814,8.658,8.761,195306.7
1774641600000,8.761,8.803,8.72,8.784,88542.3
1774656000000,8.784,8.787,8.696,8.733,111663.7
1774670400000,8.733,8.832,8.707,8.826,72385.8
1774684800000,8.826,8.843,8.769,8.809,64832.2
1774699200000,8.809,8.985,8.756,8.928,231930.6
1774713600000,8.928,8.941,8.852,8.876,70777.5
1774728000000,8.876,8.902,8.716,8.753,105971.5
1774742400000,8.753,8.812,8.717,8.793,65063.8
1774756800000,8.793,8.799,8.721,8.741,43532.8
1774771200000,8.741,8.751,8.662,8.721,85924.4
1774785600000,8.721,8.722,8.614,8.655,154991.2
1774800000000,8.655,8.677,8.558,8.596,89790.1
1774814400000,8.596,8.677,8.368,8.593,233839.4
1774828800000,8.593,8.853,8.558,8.799,260373.3
1774843200000,8.799,8.918,8.799,8.91,152245.5
1774857600000,8.91,9.073,8.886,8.978,302924.0
