timestamp,open,high,low,close,volume
1771675200000,8.937,9.05,8.894,8.931,435308.0
1771689600000,8.931,8.989,8.837,8.929,458858.0
1771704000000,8.929,8.944,8.86,8.872,166563.0
1771718400000,8.872,8.897,8.792,8.835,154560.0
1771732800000,8.835,8.867,8.8,8.847,129167.0
1771747200000,8.847,8.864,8.785,8.828,86240.0
1771761600000,8.828,8.835,8.676,8.706,367836.0
1771776000000,8.706,8.706,8.6,8.637,191713.0
1771790400000,8.637,8.701,8.596,8.678,203901.0
1771804800000,8.678,8.69,8.167,8.25,944505.0
1771819200000,8.25,8.374,8.17,8.353,326712.0
1771833600000,8.353,8.558,8.306,8.467,309699.0
1771848000000,8.467,8.576,8.396,8.414,428672.0
1771862400000,8.414,8.453,8.179,8.228,524558.0
1771876800000,8.228,8.339,8.199,8.264,229361.0
1771891200000,8.264,8.334,8.111,8.203,520441.0
1771905600000,8.203,8.229,8.117,8.147,393855.0
1771920000000,8.147,8.197,8.099,8.17,250645.0
1771934400000,8.17,8.224,8.049,8.21,558946.0
1771948800000,8.21,8.273,8.171,8.226,333771.0
1771963200000,8.226,8.257,8.161,8.191,196671.0
1771977600000,8.191,8.63,8.177,8.497,807936.0
1771992000000,8.497,8.55,8.352,8.476,351052.0
1772006400000,8.476,8.664,8.434,8.654,301529.0
1772020800000,8.654,9.329,8.637,9.271,1109022.0
1772035200000,9.271,9.503,9.271,9.476,1062384.0
1772049600000,9.476,9.584,9.177,9.261,874926.0
1772064000000,9.261,9.329,9.143,9.22,536471.0
1772078400000,9.22,9.337,9.188,9.2,325362.0
1772092800000,9.2,9.314,9.17,9.204,437816.0
1772107200000,9.204,9.308,9.022,9.112,658065.0
1772121600000,9.112,9.136,8.851,9.094,879307.0
1772136000000,9.094,9.14,9.036,9.091,151320.0
1772150400000,9.091,9.195,8.997,9.18,286319.0
1772164800000,9.18,9.289,9.114,9.172,333362.0
1772179200000,9.172,9.232,8.794,8.839,595096.0
1772193600000,8.839,8.864,8.726,8.809,566441.0
1772208000000,8.809,8.811,8.64,8.67,423047.0
1772222400000,8.67,8.728,8.541,8.705,352683.0
1772236800000,8.705,8.744,8.661,8.674,150433.0
1772251200000,8.674,8.691,8.219,8.345,1213607.0
1772265600000,8.345,8.345,8.204,8.27,604521.0
1772280000000,8.27,8.538,8.27,8.431,815508.0
1772294400000,8.431,8.728,8.4,8.684,753723.0
1772308800000,8.684,8.937,8.658,8.842,502556.0
1772323200000,8.842,9.205,8.733,9.049,705470.0
1772337600000,9.049,9.09,8.92,8.97,465249.0
1772352000000,8.97,8.992,8.832,8.872,330538.0
1772366400000,8.872,9.049,8.78,8.91,573909.0
1772380800000,8.91,8.97,8.673,8.689,958591.0
1772395200000,8.689,8.776,8.532,8.663,713874.0
1772409600000,8.663,8.885,8.656,8.82,394797.0
1772424000000,8.82,8.847,8.602,8.667,323459.0
1772438400000,8.667,8.763,8.581,8.686,385556.0
1772452800000,8.686,9.174,8.58,9.099,822483.0
1772467200000,9.099,9.264,8.946,9.033,821903.0
1772481600000,9.033,9.104,8.916,8.942,415593.0
1772496000000,8.942,9.007,8.838,8.879,369272.0
1772510400000,8.879,8.929,8.766,8.791,268076.0
1772524800000,8.791,8.803,8.588,8.667,419234.0
1772539200000,8.667,8.784,8.554,8.744,506216.0
1772553600000,8.744,8.925,8.701,8.806,500218.0
1772568000000,8.806,8.88,8.674,8.8,206702.0
1772582400000,8.8,8.891,8.675,8.751,390962.0
1772596800000,8.751,8.919,8.683,8.899,286108.0
1772611200000,8.899,9.293,8.88,9.126,833008.0
1772625600000,9.126,9.503,9.021,9.496,805154.0
1772640000000,9.496,9.627,9.355,9.522,602470.0
1772654400000,9.522,9.557,9.292,9.342,332363.0
1772668800000,9.342,9.389,9.229,9.258,325673.0
1772683200000,9.258,9.353,9.173,9.209,265683.0
1772697600000,9.209,9.46,9.19,9.389,348609.0
1772712000000,9.389,9.481,9.162,9.225,819494.0
1772726400000,9.225,9.27,9.065,9.179,479637.0
1772740800000,9.179,9.31,9.164,9.195,297391.0
1772755200000,9.195,9.293,9.159,9.255,206288.0
1772769600000,9.255,9.287,9.146,9.27,149326.0
