timestamp,open,high,low,close,volume
1774267200000,638.02,640.41,635.64,639.49,1192.35
1774268100000,639.49,642.45,639.24,641.25,276.19
1774269000000,641.25,645.36,640.63,644.89,341.78
1774269900000,644.89,645.38,643.75,644.84,117.87
1774270800000,644.84,646.25,644.12,644.3,353.4
1774271700000,644.3,645.45,643.5,643.83,170.66
1774272600000,643.83,648.49,642.72,647.11,359.15
1774273500000,647.11,649.32,645.74,647.39,796.3
1774274400000,647.39,649.14,646.01,646.86,634.29
1774275300000,646.86,648.26,645.81,646.32,372.21
1774276200000,646.32,646.66,644.7,645.92,232.74
1774277100000,645.92,646.68,644.33,646.32,419.58
1774278000000,646.32,647.7,644.82,644.82,245.73
1774278900000,644.82,644.97,642.59,643.46,1586.83
1774279800000,643.46,643.46,639.58,639.89,1171.78
1774280700000,639.89,641.08,636.61,637.17,750.25
1774281600000,637.17,638.81,636.56,638.0,263.84
1774282500000,638.0,638.5,634.29,634.52,504.39
1774283400000,634.52,636.03,633.74,634.98,274.48
1774284300000,634.98,637.25,634.73,635.5,299.26
1774285200000,635.5,636.61,635.18,635.18,291.51
1774286100000,635.18,635.36,632.6,632.69,299.07
1774287000000,632.69,637.2,632.69,636.01,1561.93
1774287900000,636.01,638.14,636.01,637.95,117.23
1774288800000,637.95,638.29,636.05,636.86,180.24
1774289700000,636.86,637.6,636.57,637.05,115.08
1774290600000,637.05,639.03,637.05,638.14,77.58
1774291500000,638.14,639.57,638.14,639.57,501.15
1774292400000,639.57,640.71,638.41,638.61,241.24
1774293300000,638.61,639.37,638.33,638.96,18.04
1774294200000,638.96,639.07,638.21,638.37,50.87
1774295100000,638.37,638.98,636.94,637.67,94.93
1774296000000,637.67,637.99,636.41,637.7,84.28
1774296900000,637.7,638.31,637.58,637.96,38.24
1774297800000,637.96,639.69,637.96,639.31,256.18
1774298700000,639.31,639.55,638.7,639.21,5.99
1774299600000,639.21,639.81,639.14,639.22,274.12
1774300500000,639.22,639.72,639.22,639.44,53.01
1774301400000,639.44,640.5,639.34,640.25,99.79
1774302300000,640.25,640.96,639.37,639.37,227.05
1774303200000,639.37,639.83,637.72,638.53,217.53
1774304100000,638.53,638.78,637.68,638.21,34.67
1774305000000,638.21,638.34,637.13,637.99,77.63
1774305900000,637.99,638.72,637.81,638.49,425.61
